arch,modes_kept,share_rule_family,share_exemplar,share_uniform,gcm_lambda_median,test_acc_median,acc_exc_median
transformer,intact,1.0,0.0,0.0,40.0,0.989,0.972
transformer,48,1.0,0.0,0.0,16.54,0.721,0.493
transformer,32,1.0,0.0,0.0,6.16,0.55,0.086
transformer,24,0.72,0.28,0.0,1.31,0.115,0.041
transformer,16,0.61,0.39,0.0,1.49,0.057,0.028
transformer,12,0.39,0.56,0.06,0.6,0.016,0.02
transformer,8,0.39,0.56,0.06,0.75,0.013,0.013
transformer,6,0.22,0.61,0.17,0.75,0.011,0.012
transformer,4,0.11,0.72,0.17,0.85,0.007,0.007
transformer,3,0.11,0.67,0.22,0.94,0.008,0.005
transformer,2,0.0,0.67,0.33,0.94,0.008,0.008
transformer,1,0.0,0.56,0.44,0.75,0.007,0.008
transformer,0,0.0,0.61,0.39,0.2,0.007,0.005
mamba,intact,1.0,0.0,0.0,40.0,0.998,0.998
mamba,48,1.0,0.0,0.0,16.95,0.839,0.365
mamba,32,0.83,0.17,0.0,4.51,0.29,0.117
mamba,24,0.72,0.22,0.06,2.35,0.183,0.068
mamba,16,0.44,0.5,0.06,0.75,0.075,0.038
mamba,12,0.44,0.5,0.06,0.6,0.044,0.029
mamba,8,0.33,0.44,0.22,0.68,0.024,0.028
mamba,6,0.22,0.44,0.33,0.75,0.009,0.022
mamba,4,0.22,0.5,0.28,0.62,0.008,0.018
mamba,3,0.28,0.5,0.22,0.5,0.01,0.014
mamba,2,0.11,0.67,0.22,0.2,0.007,0.009
mamba,1,0.0,0.72,0.28,0.4,0.007,0.006
mamba,0,0.0,0.5,0.5,0.2,0.007,0.005
kimi,intact,1.0,0.0,0.0,40.0,0.998,1.0
kimi,48,1.0,0.0,0.0,16.95,0.768,0.789
kimi,32,1.0,0.0,0.0,3.18,0.357,0.2
kimi,24,0.89,0.11,0.0,2.55,0.177,0.09
kimi,16,0.72,0.22,0.06,2.27,0.103,0.037
kimi,12,0.67,0.28,0.06,1.46,0.045,0.027
kimi,8,0.44,0.5,0.06,1.49,0.035,0.018
kimi,6,0.44,0.44,0.11,0.94,0.011,0.018
kimi,4,0.17,0.78,0.06,1.05,0.008,0.01
kimi,3,0.11,0.72,0.17,1.05,0.008,0.008
kimi,2,0.0,0.72,0.28,0.62,0.007,0.007
kimi,1,0.11,0.67,0.22,1.05,0.008,0.005
kimi,0,0.0,0.5,0.5,0.2,0.007,0.009
