arch,condition,seed,rho,wd,lesion,side,D50_rule,D50_exc,max_overreg,overreg_at_rule_intact,SI_q0.5,d_test_q0.5,d_exc_q0.5,SI_k64,d_test_k64,d_exc_k64,SI_k256,d_test_k256,d_exc_k256
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,0.02,0.1,ebottom,in,0.6637274059595957,0.4531249999998157,0.3918918918918919,,0.587481770573384,0.04765336456175118,0.6351351351351352,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,0.02,0.1,erand,in,0.41471468016555685,0.4797872340422705,0.08708708708708703,,0.20213407714533735,0.3549229799117197,0.5570570570570571,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,0.02,0.1,etop,in,0.14832073887444466,0.6189189189188622,0.0225225225225225,,-0.29445768622419377,0.519682911449419,0.22522522522522526,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,0.02,0.1,lowpass,in,53.9323630137622,40.955223880608685,0.0405405405405405,,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,0.02,0.1,neurons,units,,,0.0135135135135135,,,,,0.005224754526619191,-0.005224754526619191,0.0,0.01612507922750228,-0.011620574722997934,0.0045045045045043475
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,0.02,0.1,randk,both,,,0.0045045045045045,,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,0.02,0.1,randk,in,,,0.0,,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,0.02,0.1,randk,out,,,0.0045045045045045,,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,0.02,0.1,randunits,units,,,0.0,,,,,-0.008767978860763267,0.008767978860763267,0.0,-0.04498093264871036,0.04498093264871036,0.0
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,0.02,0.1,residual,both,,,0.0045045045045045,,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,0.02,0.1,residual,in,,,0.0,,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,0.02,0.1,residual,out,,,0.0045045045045045,,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,0.02,0.1,topk,both,0.6043251736681581,0.8744131455397764,0.0225225225225225,,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,0.02,0.1,topk,in,0.7698155323449765,0.8738317757008062,0.009009009009009,,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,0.02,0.1,topk,out,0.6421726755212227,0.9933628318579291,0.0045045045045045,,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,0.02,0.1,ebottom,in,0.7269536095260979,0.3597402597400875,0.7162162162162162,0.7162162162162162,0.8559491840277355,0.03594270786415643,0.8918918918918919,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,0.02,0.1,erand,in,0.6334544611100797,0.5101010101009421,0.10510510510510507,0.0165165165165165,0.21071539966234124,0.2742695853226437,0.484984984984985,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,0.02,0.1,etop,in,0.6092652620204738,0.7390243902437967,0.018018018018018,0.018018018018018,-0.23266916136927862,0.3723088010089183,0.13963963963963966,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,0.02,0.1,lowpass,in,17.11995386392052,40.00000000001287,0.3783783783783784,0.1081081081081081,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,0.02,0.1,neurons,units,,,0.018018018018018,0.018018018018018,,,,0.00045040987298439195,-0.00045040987298439195,0.0,0.0003603278983873581,-0.0003603278983873581,0.0
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,0.02,0.1,randk,both,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,0.02,0.1,randk,in,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,0.02,0.1,randk,out,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,0.02,0.1,randunits,units,,,0.0,0.0,,,,-0.00012010929946260074,0.00012010929946260074,0.0,-0.0002702459237908054,0.0002702459237908054,0.0
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,0.02,0.1,residual,both,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,0.02,0.1,residual,in,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,0.02,0.1,residual,out,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,0.02,0.1,topk,both,0.8719782527532803,0.8803827751194787,0.0045045045045045,0.0045045045045045,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,0.02,0.1,topk,in,0.8770630505330171,0.8791469194311438,0.0135135135135135,0.0045045045045045,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,0.02,0.1,topk,out,0.8724969871139928,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,ebottom,in,0.6378773584904338,0.30215053763440347,0.7702702702702703,0.7702702702702703,0.7887557406970076,0.1887217367804701,0.9774774774774777,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,erand,in,0.644526157928045,0.39306358381467066,0.41891891891891886,0.17567567567567563,0.6324717655228423,0.10326397021289357,0.7357357357357359,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1002,0.02,0.1,etop,in,0.38272785898518524,0.7017241379310278,0.027027027027027,0.027027027027027,-0.2536367553933536,0.6320151337717321,0.3783783783783785,,,,,,
