arch,condition,seed,task,rho,wd,step,step_req,grok_step,basis,side,mode,energy_share,rank,dc_share
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,1,0.017993186994563218,10,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,2,0.007824698820322936,74,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,3,0.013426940045927026,25,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,4,0.009963224611270187,64,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,5,0.022985856895915223,4,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,6,0.010877264851109578,47,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,7,0.010651034077452319,53,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,8,0.03450091767748579,2,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,9,0.010367633318021029,57,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,10,0.010036048642199305,61,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,11,0.011624082977285656,39,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,12,0.016144693639064588,17,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,13,0.012434559531622731,34,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,14,0.01808888489768227,8,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,15,0.011807969469340004,37,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,16,0.012879586471191227,30,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,17,0.012476205081276254,33,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,18,0.011717310492263235,38,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,19,0.009986727835908513,62,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,20,0.010704116439507378,51,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,21,0.037095892953074305,1,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,22,0.015312782130979318,19,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,23,0.012564622242485531,32,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,24,0.01802012081853607,9,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,25,0.011413944995499904,41,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,26,0.010860188107488471,48,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,27,0.013127558787618851,27,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,28,0.010249748988559824,58,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,29,0.008451012510523844,72,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,30,0.01642879055287367,16,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,31,0.008001145527041077,73,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,32,0.011029352067216567,46,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,33,0.015062886924100242,20,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,34,0.01206557385482155,35,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,35,0.02011477868668254,7,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,36,0.01548496990261019,18,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,37,0.008519243459034398,71,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,38,0.010651831948365765,52,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,39,0.012888701763489113,29,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,40,0.010637353761758945,54,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,41,0.009433532746431442,68,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,42,0.014145491550837884,21,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,43,0.011366784601955069,42,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,44,0.013914429871946838,22,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,45,0.010708270041370512,50,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,46,0.021875091919562363,5,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,47,0.020347146463862254,6,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,48,0.011881497140096524,36,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,49,0.010243309640556699,59,0.001192380457054892
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,natural,in,50,0.011300339286165103,43,0.001192380457054892
