arch,condition,seed,task,rho,wd,step,step_req,grok_step,basis,side,mode,energy_share,rank,dc_share
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,1,0.013283723265803819,44,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,2,0.01319112627559429,46,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,3,0.012665933088809719,61,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,4,0.012083473120216149,70,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,5,0.012848207408962972,53,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,6,0.011793907232388408,73,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,7,0.012795463696280325,55,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,8,0.01405138317045464,16,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,9,0.013823871066414686,25,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,10,0.015791780891464942,3,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,11,0.014072462053641136,14,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,12,0.013561437103081293,35,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,13,0.015681328386797047,4,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,14,0.01394912856119,21,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,15,0.013730983864766578,28,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,16,0.013627259842600149,32,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,17,0.013415001720381922,38,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,18,0.012296401519339674,68,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,19,0.015040863424321437,8,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,20,0.012355315385865677,67,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,21,0.013012703330287876,50,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,22,0.012780483668572,56,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,23,0.013355984493735984,40,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,24,0.0136144621746967,33,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,25,0.013007969011977146,51,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,26,0.01380664172740801,26,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,27,0.014048386490250229,17,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,28,0.01253722266397037,62,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,29,0.013951789522219494,20,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,30,0.012743797509323196,57,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,31,0.012698182245122642,58,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,32,0.013865986604524693,24,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,33,0.01283823887618946,54,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,34,0.012669416513933706,60,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,35,0.012924250896542967,52,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,36,0.013546873828159276,36,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,37,0.015237541634057328,6,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,38,0.012062871800207523,71,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,39,0.013685338501657223,31,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,40,0.01322897263066418,45,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,41,0.01391340422768738,23,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,42,0.012522297408578732,63,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,43,0.01337892149008635,39,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,44,0.01522047483606795,7,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,45,0.012223101086417113,69,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,46,0.014622794573797894,11,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,47,0.013424558854573118,37,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,48,0.013305218515247064,43,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,49,0.01413933228995496,13,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,50,0.014531654301920728,12,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,51,0.013936050899762154,22,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,52,0.014053303213238097,15,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,53,0.012439584921951932,64,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,54,0.013707684094266568,30,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,55,0.015268340637894754,5,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,56,0.01332434649280794,42,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,57,0.013600751002056795,34,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,58,0.012678609499416838,59,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,59,0.011501103892758392,74,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,60,0.016336859693703562,1,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,61,0.012410421344909417,66,0.004446306857269552
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,in,62,0.013043912508238723,47,0.004446306857269552
