arch,condition,seed,task,rho,wd,step,basis,side,mode,energy_share,rank,dc_share
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,1,0.0066414783536777496,41,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,2,0.004924129529887452,68,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,3,0.005646599587865003,57,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,4,0.00536424260010473,60,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,5,0.07808837241907231,3,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,6,0.006579158781983316,43,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,7,0.004678483475053405,71,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,8,0.007826134206099416,20,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,9,0.005801628122052972,53,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,10,0.007284647673448499,27,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,11,0.00708189522085686,32,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,12,0.005194285734173096,63,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,13,0.0065588512335813705,44,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,14,0.009295197349303475,14,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,15,0.0077573180751156455,23,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,16,0.012430042066710036,12,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,17,0.005693414636119331,55,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,18,0.006976286294149156,33,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,19,0.005970615414849658,50,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,20,0.007336731940912202,26,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,21,0.007796201282781324,21,0.0064653756813070964
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,in,22,0.004822295347031262,69,0.0064653756813070964
