arch,condition,seed,task,rho,wd,step,side,mode,energy_share,rank,dc_share
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,1,0.014993514061704174,17,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,2,0.008441858141816947,58,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,3,0.008153601084437911,59,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,4,0.009378061694532383,47,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,5,0.01510082072216731,16,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,6,0.010034567660003026,39,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,7,0.007772062900680195,62,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,8,0.012466942004644042,21,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,9,0.010098706405922078,37,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,10,0.013999912116617441,19,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,11,0.054953411932392976,2,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,12,0.012575992588938352,20,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,13,0.008462279254237712,56,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,14,0.0071157964847439565,71,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,15,0.006050963209875805,73,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,16,0.020407641144031728,8,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,17,0.009535629408598353,45,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,18,0.0072049297470237065,70,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,19,0.008600648656293787,53,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,20,0.009651878321694134,44,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,21,0.008488131962807347,55,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,22,0.010603050996022977,34,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,23,0.019355198489720716,10,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,24,0.011792362679714065,24,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,25,0.009668533728338443,43,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,26,0.011500949255222931,27,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,27,0.011330281451280351,28,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,28,0.009983198370355599,40,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,29,0.01241706049639038,22,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,30,0.010072278509116748,38,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,31,0.007470415207785527,67,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,32,0.00852320361734902,54,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,33,0.03331185873226759,4,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,34,0.01893358296138987,11,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,35,0.01732493130421386,12,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,36,0.029439951171196427,6,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,37,0.007507147156659886,66,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,38,0.00772773131928896,64,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,39,0.009863006948313043,41,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,40,0.010847463192379453,31,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,41,0.03163044147064536,5,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,42,0.010188674561118346,36,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,43,0.008859304716964582,51,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,44,0.010436405447647738,35,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,45,0.016244971702287773,14,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,46,0.011222770144899882,29,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,47,0.011800767537652461,23,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,48,0.008015806948736782,60,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,49,0.009489114030258738,46,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,50,0.005599835129468859,74,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,51,0.007958466822720573,61,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,52,0.011635820709385267,26,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,53,0.0755997647222748,1,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,54,0.009013463085765722,50,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,55,0.01083372395273431,32,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,56,0.01719147234554346,13,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,57,0.024338412575911426,7,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,58,0.01111071617307706,30,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,59,0.010754832322515005,33,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,60,0.007411488253840153,68,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,61,0.020152970733088145,9,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,62,0.007310015149948555,69,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,63,0.007760249579283727,63,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,64,0.006621729547106032,72,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,65,0.00753863071718559,65,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,66,0.01172493456421039,25,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,67,0.008673404927102798,52,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,68,0.014173531866571576,18,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,69,0.03392093626899752,3,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,70,0.009671394472687802,42,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,71,0.008447266993599633,57,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,72,0.009185286108653934,49,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,73,0.015101610720076132,15,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,74,0.009222230607870752,48,0.0017935854160141063
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,1,0.01282131425538282,17,0.0014676219984556798
