arch,condition,seed,task,rho,wd,step,side,mode,energy_share,rank,dc_share
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,1,0.005972474841800621,42,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,2,0.006212063888346437,39,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,3,0.0066689142068962,30,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,4,0.005892668946378365,45,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,5,0.005468823504845067,63,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,6,0.005575107959103222,58,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,7,0.008671600912080737,12,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,8,0.005438639836961155,64,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,9,0.007093598719823473,20,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,10,0.005341997140017328,70,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,11,0.006274966213613703,37,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,12,0.037081831833738414,9,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,13,0.00696786656229302,22,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,14,0.006287683299939048,35,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,15,0.008522146686443669,13,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,16,0.0071728465049498286,18,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,17,0.0066992283534451505,29,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,18,0.005562343038270909,61,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,19,0.008163779606721896,14,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,20,0.005924274456526967,43,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,21,0.005641989434551141,55,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,22,0.005705832686498016,53,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,23,0.005810219006368712,50,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,24,0.007642233858545855,17,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,25,0.005477944316103569,62,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,26,0.006897899030993175,24,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,27,0.005255216629595269,73,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,28,0.0053865194853785795,67,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,29,0.011578731694918661,10,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,30,0.005290554335666388,71,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,31,0.006429436058551189,32,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,32,0.00633111933688019,34,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,33,0.00492823689865917,74,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,34,0.005437331517180261,65,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,35,0.006722629181530558,28,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,36,0.006356798888702436,33,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,37,0.06971012461255066,3,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,38,0.005633093938605214,56,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,39,0.005893388148089618,44,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,40,0.006286679272269171,36,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,41,0.005385733245085332,68,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,42,0.005574023968595313,59,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,43,0.005729879679243278,52,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,44,0.006184628643195268,40,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,45,0.005568246520614288,60,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,46,0.060555956830642035,6,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,47,0.009343169967889666,11,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,48,0.0053656592080543715,69,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,49,0.006798045274996727,26,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,50,0.006936636251087876,23,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,51,0.060411674939717615,7,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,52,0.0053888362586650565,66,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,53,0.005823664832158274,47,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,54,0.007117416719128568,19,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,55,0.006665891800864252,31,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,56,0.005997072714537316,41,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,57,0.008079077735134017,15,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,58,0.00564382728411889,54,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,59,0.0058124705628889274,49,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,60,0.08815781296720775,1,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,61,0.005852180241854546,46,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,62,0.005780174236918138,51,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,63,0.006764704651225249,27,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,64,0.005257046479029476,72,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,65,0.0068538616255775855,25,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,66,0.005591403449318794,57,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,67,0.05677910548344101,8,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,68,0.006272405975772442,38,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,69,0.005817133608854382,48,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,70,0.0684925602302318,4,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,71,0.08037860701048133,2,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,72,0.007058200575835514,21,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,73,0.06509838327622115,5,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,in,74,0.008055672907580799,16,0.005168042086140715
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,1,0.0029223950220331894,32,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,2,0.0027251240232470074,43,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,3,0.002568591745281621,57,0.001950244593476919
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,4,0.0023907479696867956,67,0.001950244593476919
