arch,condition,seed,task,rho,wd,step,basis,side,mode,energy_share,rank,dc_share
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,1,0.0029794164558693843,34,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,2,0.0019148269169056928,74,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,3,0.0038969150867051894,28,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,4,0.0019993569318618068,73,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,5,0.010341952555497093,14,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,6,0.0029461299491154043,39,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,7,0.0023469120110169326,57,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,8,0.002963652871379829,35,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,9,0.0020169227393189,71,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,10,0.002418586030171152,54,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,11,0.004289898417651711,23,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,12,0.08993770344658662,2,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,13,0.06512375232484612,9,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,14,0.08786298833679573,3,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,15,0.0030841638960320355,33,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,16,0.00258449049437424,48,0.016564433772133895
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,in,17,0.002105259774153187,65,0.016564433772133895
