arch,condition,seed,task,rho,wd,step,step_req,grok_step,lesion,side,param,dose,control_seed,test_acc,test_ce,train_reg_acc,train_reg_ce,acc_exc,overreg_rate,other_err_rate,exc_ce,exc_logit_gap,best_model,gcm_best,n_probe,dbic_gcm_vs_uniform,dbic_rulefam_vs_gcm,dbic_rulex_vs_rule,gcm_circular_lambda,gcm_hamming_lambda,rule_eps,rulex_m,rulex_eps,bic_uniform,bic_gcm_hamming,bic_gcm_circular,bic_gcm_linear,bic_rule,bic_rulex,k_modes,n_modes_touched,basis,n_units_total,unit_rank,attr_min_selected,dprime_min_selected
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,none,-,0,0.0,,0.0023421313395189623,10.809198379516602,0.9998161426732856,0.0013067920226603746,1.0,0.0,0.0,0.0019781976006925106,20.083576202392578,gcm_hamming,gcm_hamming,11323,12544.053211478313,-12318.953789149396,235.92956610611873,1.1696070952851467,8.0,0.9999,1.0,0.9829542372881356,113319.36804444087,100775.31483296255,113084.1512207441,113113.35656780525,113330.19818821807,113094.26862211195,,,,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,lowpass,in,0,0.0,,0.0073867219169444194,10.87939739227295,0.0058834344548630265,10.988364219665527,0.009009009009009009,0.013513513513513514,0.9774774774774775,10.913375854492188,0.4210476279258728,uniform,gcm_linear,11323,-2632.799243808113,2623.7145033726265,-9.334591334336437,0.2,0.05,0.9999,0.0,0.9999,113319.36804444087,116071.21060546949,116072.7028965406,115952.16728824898,113328.45278487635,113337.78737621069,63.0,0.0,natural,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,lowpass,in,1,1.0,,0.0085577875867039,10.31471061706543,0.011399154256297114,10.001795768737793,0.009009009009009009,0.018018018018018018,0.9729729729729729,10.937032699584961,-0.8625496625900269,gcm_circular,gcm_circular,11323,3432.588164448418,-3435.9113212866505,-14.682011426761164,3.527128184768097,2.2493653007613967,0.9973942355889724,0.0,0.9999,113319.36804444087,112645.43643263326,109886.77987999245,111145.4935373716,113322.6912012791,113337.37321270586,63.0,1.0,natural,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,lowpass,in,2,2.0,,0.009098279434285199,10.544279098510742,0.01553594410737268,10.17060375213623,0.009009009009009009,0.03153153153153153,0.9594594594594594,11.223539352416992,-1.1192595958709717,gcm_circular,gcm_circular,11323,4492.968385338463,-4490.373488319237,-20.333817316859495,4.3984280602251165,2.2493653007613967,0.9973942355889724,0.0,0.9999,113319.36804444087,112992.40132878817,108826.3996591024,110466.62002271935,113316.77314742164,113337.1069647385,63.0,2.0,natural,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,lowpass,in,3,3.0,,0.01198090262138546,10.38180923461914,0.01673101673101673,10.018527030944824,0.02252252252252252,0.0,0.9774774774774775,11.261284828186035,-1.244140386581421,gcm_circular,gcm_circular,11323,3217.54450237719,-3191.7235600314016,-42.672369418811286,3.527128184768097,2.2493653007613967,0.9948884711779449,1.0,0.9999,113319.36804444087,112960.55514673794,110101.82354206368,111201.63804907128,113293.54710209508,113336.21947151389,63.0,3.0,natural,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,lowpass,in,4,4.0,,0.01630483740203585,10.424495697021484,0.022798308512594227,9.912220001220703,0.013513513513513514,0.009009009009009009,0.9774774774774775,11.17586898803711,-1.2048852443695068,gcm_circular,gcm_circular,11323,2624.1542350050586,-2525.0792709287343,-36.52339642283914,3.527128184768097,2.2493653007613967,0.9898769423558897,0.68,0.9829542372881356,113319.36804444087,113096.89801764482,110695.21380943581,111567.40721458718,113220.29308036454,113256.81647678738,63.0,4.0,natural,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,lowpass,in,6,6.0,,0.022070083776236375,9.958182334899902,0.027670527670527672,9.356179237365723,0.009009009009009009,0.013513513513513514,0.9774774774774775,11.230823516845703,-1.8572901487350464,gcm_circular,gcm_circular,11323,1492.6343966719287,-1256.6908194704447,-10.0075431245059,2.8284271247461907,2.2493653007613967,0.9848654135338346,0.32,0.9829542372881356,113319.36804444087,113128.04271976836,111826.73364776894,112331.110940402,113083.42446723938,113093.43201036389,63.0,6.0,natural,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,lowpass,in,8,8.0,,0.033780740473831186,8.340825080871582,0.054513697370840226,7.567627906799316,0.018018018018018018,0.02702702702702703,0.954954954954955,10.692503929138184,-2.448620557785034,gcm_circular,gcm_circular,11323,993.2566682097095,-375.8966299224994,-19.458124948650948,2.2681341819523335,2.7790625636246915,0.9723365914786968,0.36,0.9660084745762713,113319.36804444087,113054.83106520626,112326.11137623116,112654.6497091703,112702.00800615366,112721.46613110231,63.0,8.0,natural,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,lowpass,in,12,12.0,,0.03251959282947482,8.662964820861816,0.06462585034013606,7.47964334487915,0.0045045045045045045,0.02702702702702703,0.9684684684684686,10.608304023742676,-1.7572453022003174,gcm_circular,gcm_circular,11323,1175.2908850905078,-603.3869149466773,-29.44558266727836,2.2681341819523335,2.7790625636246915,0.9748423558897243,0.0,0.9660084745762713,113319.36804444087,112923.15340185002,112144.07715935036,112484.18907779976,112747.46407429704,112776.90965696432,63.0,12.0,natural,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,lowpass,in,16,16.0,,0.03774434735609405,8.683547973632812,0.09174480603052032,6.864224433898926,0.013513513513513514,0.07207207207207207,0.9144144144144144,9.868989944458008,-0.8231309056282043,gcm_circular,gcm_circular,11323,1641.5911170241015,-839.6359192477248,-10.362897437575157,2.8284271247461907,3.433496875730229,0.9673250626566416,0.02,0.9660084745762713,113319.36804444087,112466.2905015129,111677.77692741677,112225.88892120644,112517.41284666449,112527.77574410207,63.0,16.0,natural,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,lowpass,in,24,24.0,,0.033960904423024955,8.701558113098145,0.20408163265306123,5.145630836486816,0.07207207207207207,0.036036036036036036,0.8918918918918919,7.928631782531738,0.7422646284103394,gcm_hamming,gcm_hamming,11323,2009.1178996312374,-1365.5471567875502,12.961481882142834,2.8284271247461907,4.2420422447320325,0.9723365914786968,0.74,0.9660084745762713,113319.36804444087,111310.25014480963,111775.71684212013,112226.15309376045,112688.75878347932,112675.79730159718,63.0,24.0,natural,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,lowpass,in,32,32.0,,0.02360147734438339,9.230237007141113,0.31963596249310533,3.901603937149048,0.19369369369369369,0.02252252252252252,0.7837837837837838,6.06162691116333,3.47426176071167,gcm_hamming,gcm_hamming,11323,3803.2244709532533,-3432.6107582159166,87.87904986598005,2.8284271247461907,5.2409898879736305,0.982359649122807,1.0,0.9829542372881356,113319.36804444087,109516.14357348761,111921.62407058998,112289.71546024605,113036.63338156951,112948.75433170353,63.0,32.0,natural,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,lowpass,in,48,48.0,,0.006395820196378705,10.32240104675293,0.8131090273947417,0.7480734586715698,0.7657657657657657,0.009009009009009009,0.22522522522522528,0.8470116853713989,12.693120956420898,gcm_hamming,gcm_hamming,11323,8962.240652343084,-8755.011406029225,216.66898403919186,1.8188316122170607,6.475177148448455,0.9999,1.0,0.9829542372881356,113319.36804444087,104357.12739209778,112645.02560562416,112819.00979084297,113328.8077821662,113112.13879812701,63.0,48.0,natural,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,lowpass,in,74,74.0,,0.0023421313395189623,10.809198379516602,0.9998161426732856,0.0013067920226603746,1.0,0.0,0.0,0.0019781976006925106,20.083576202392578,gcm_hamming,gcm_hamming,11323,12544.053211478313,-12318.953789149396,235.92956610611873,1.1696070952851467,8.0,0.9999,1.0,0.9829542372881356,113319.36804444087,100775.31483296255,113084.1512207441,113113.35656780525,113330.19818821807,113094.26862211195,63.0,74.0,natural,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,etop,in,0,0.0,,0.0023421313395189623,10.809198379516602,0.9998161426732856,0.0013067920226603746,1.0,0.0,0.0,0.0019781976006925106,20.083576202392578,gcm_hamming,gcm_hamming,11323,12544.053211478313,-12318.953789149396,235.92956610611873,1.1696070952851467,8.0,0.9999,1.0,0.9829542372881356,113319.36804444087,100775.31483296255,113084.1512207441,113113.35656780525,113330.19818821807,113094.26862211195,63.0,0.0,natural,,,,
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,3000,0.25g,11750,etop,in,2,0.05,,0.001080983695162598,11.619421005249023,0.9985291413862842,0.006918046623468399,0.9954954954954955,0.0,0.0045045045045044585,0.00931551307439804,20.057003021240234,gcm_hamming,gcm_hamming,11323,12371.189574777178,-12184.383386766276,198.05049529291864,1.1696070952851467,8.0,0.9999,1.0,0.9829542372881356,113319.36804444087,100948.17846966369,113105.4628071241,113114.19111770912,113330.61235172288,113132.56185642997,63.0,2.0,natural,,,,
