arch,condition,seed,task,rho,wd,step,step_req,grok_step,lesion,side,param,dose,control_seed,test_acc,test_ce,train_reg_acc,train_reg_ce,acc_exc,overreg_rate,other_err_rate,exc_ce,exc_logit_gap,best_model,gcm_best,n_probe,dbic_gcm_vs_uniform,dbic_rulefam_vs_gcm,dbic_rulex_vs_rule,gcm_circular_lambda,gcm_hamming_lambda,rule_eps,rulex_m,rulex_eps,bic_uniform,bic_gcm_hamming,bic_gcm_circular,bic_gcm_linear,bic_rule,bic_rulex,k_modes,n_modes_touched,basis,n_units_total,unit_rank,attr_min_selected,dprime_min_selected
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,none,-,0,0.0,,0.0006305738221781821,5.532694339752197,0.08990623276337562,4.574042797088623,0.13063063063063063,0.0045045045045045045,0.8648648648648649,4.232825756072998,1.2901667356491089,gcm_hamming,gcm_hamming,11323,8509.040665155146,-8520.403304867112,-8.506264324692893,0.9379155676525598,6.475177148448455,0.9999,1.0,0.9999,113319.36804444087,104810.32737928572,112973.22958797737,112992.66837734505,113330.73068415283,113339.23694847753,,,,,,,
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,lowpass,in,0,0.0,,0.006395820196378705,5.207972049713135,0.007078507078507079,5.192498683929443,0.009009009009009009,0.0045045045045045045,0.9864864864864865,5.2237749099731445,0.024348948150873184,gcm_hamming,gcm_hamming,11323,1319.7997003598139,-1329.2690211926383,-9.305008226816426,0.2,0.05,0.9999,1.0,0.9999,113319.36804444087,111999.56834408105,112001.06727833077,112054.50587696358,113328.83736527369,113338.14237350051,66.0,0.0,natural,,,,
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,lowpass,in,1,1.0,,0.009188361408882083,5.222537517547607,0.011031439602868174,5.138367176055908,0.0,0.0,1.0,5.204928398132324,0.014174950309097767,gcm_circular,gcm_circular,11323,3253.053560375847,-3254.404032594917,-16.56594672346546,3.527128184768097,2.2493653007613967,0.9973942355889724,0.0,0.9999,113319.36804444087,113511.63277688986,110066.31448406502,111660.43133110329,113320.71851665994,113337.2844633834,66.0,1.0,natural,,,,
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,lowpass,in,2,2.0,,0.010089181154850914,5.197891712188721,0.015260158117300974,5.093568325042725,0.02252252252252252,0.018018018018018018,0.9594594594594594,5.093323230743408,0.1319674402475357,gcm_circular,gcm_circular,11323,2137.2586938139575,-2129.403304477004,-25.3280616671982,2.2681341819523335,2.7790625636246915,0.9973942355889724,1.0,0.9999,113319.36804444087,112250.7200680355,111182.10935062691,111910.7201961927,113311.51265510391,113336.84071677111,66.0,2.0,natural,,,,
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,lowpass,in,3,3.0,,0.016665165300423387,5.207641124725342,0.020500091928663356,5.091421604156494,0.009009009009009009,0.009009009009009009,0.9819819819819819,5.085725784301758,0.17083033919334412,gcm_circular,gcm_circular,11323,1269.0510607954639,-1162.5700956558576,-35.57796843339747,2.2681341819523335,2.7790625636246915,0.9898769423558897,0.5,0.9829542372881356,113319.36804444087,112722.49820174731,112050.3169836454,112369.46398681923,113212.88707930126,113248.46504773466,66.0,3.0,natural,,,,
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,lowpass,in,4,4.0,,0.014683361859291956,5.209780693054199,0.024269167126309985,5.0720601081848145,0.013513513513513514,0.009009009009009009,0.9774774774774775,5.057401657104492,0.15153245627880096,gcm_circular,gcm_circular,11323,1633.4610253569263,-1564.3229692589084,-52.53836962612695,2.2681341819523335,3.433496875730229,0.9923827067669173,0.68,0.9829542372881356,113319.36804444087,112657.37489719388,111685.90701908394,112102.58819526955,113250.22998834285,113302.76835796898,66.0,4.0,natural,,,,
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,lowpass,in,6,6.0,,0.010449509053238448,5.23430061340332,0.01654715940430226,5.062861442565918,0.013513513513513514,0.0,0.9864864864864865,5.01519775390625,0.22687777876853943,gcm_hamming,gcm_hamming,11323,821.4081145919627,-813.5527252550091,-25.268895452216384,1.8188316122170607,3.433496875730229,0.9973942355889724,1.0,0.9999,113319.36804444087,112497.9599298489,112515.18585056587,112586.32796615883,113311.51265510391,113336.78155055613,66.0,6.0,natural,,,,
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,lowpass,in,8,8.0,,0.01369246013872624,5.248454570770264,0.02252252252252252,5.037736892700195,0.013513513513513514,0.0045045045045045045,0.981981981981982,5.0075836181640625,0.24726717174053192,gcm_hamming,gcm_hamming,11323,939.3348791671742,-888.4974937396182,-63.133091094263364,1.8188316122170607,3.433496875730229,0.9923827067669173,0.9400000000000001,0.9829542372881356,113319.36804444087,112380.0331652737,112632.64926094338,112855.21229881569,113268.53065901331,113331.66375010757,66.0,8.0,natural,,,,
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,lowpass,in,12,12.0,,0.01053959102783533,5.264863014221191,0.02592388306674021,4.997132301330566,0.036036036036036036,0.0045045045045045045,0.9594594594594595,4.90696907043457,0.4030013680458069,gcm_hamming,gcm_hamming,11323,1690.963006434249,-1681.792494017849,-26.406519886746537,1.458532947443422,4.2420422447320325,0.9973942355889724,1.0,0.9999,113319.36804444087,111628.40503800662,112722.70127147957,112820.68035358711,113310.19753202447,113336.60405191121,66.0,12.0,natural,,,,
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,lowpass,in,16,16.0,,0.009008197459688316,5.276534080505371,0.026935098363669793,4.956550121307373,0.04054054054054054,0.0045045045045045045,0.954954954954955,4.8425164222717285,0.5257502198219299,gcm_hamming,gcm_hamming,11323,1897.5251425591123,-1899.5331763178983,-15.701303431356791,1.458532947443422,4.2420422447320325,0.9973942355889724,1.0,0.9999,113319.36804444087,111421.84290188176,112800.59745449349,112901.48495525643,113321.37607819965,113337.07738163101,66.0,16.0,natural,,,,
