arch,condition,seed,task,rho,wd,step,lesion,side,param,dose,control_seed,test_acc,test_ce,train_reg_acc,train_reg_ce,acc_exc,overreg_rate,other_err_rate,exc_ce,exc_logit_gap,best_model,gcm_best,n_probe,dbic_gcm_vs_uniform,dbic_rulefam_vs_gcm,dbic_rulex_vs_rule,gcm_circular_lambda,gcm_hamming_lambda,rule_eps,rulex_m,rulex_eps,bic_uniform,bic_gcm_hamming,bic_gcm_circular,bic_gcm_linear,bic_rule,bic_rulex,k_modes,n_modes_touched,basis,n_units_total,unit_rank,attr_min_selected,dprime_min_selected
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,none,-,0,0.0,,0.9975512425176855,0.010640721768140793,0.9998149005090236,0.0009614131413400173,1.0,0.0,0.0,0.0011341292411088943,17.339113235473633,rulex,gcm_linear,11247,-188.91609226605215,111959.22805388097,4082.0400606092085,0.2,0.05,0.02265187969924812,1.0,0.0001,112558.76820593716,112756.22613209105,112764.65972392343,112747.68429820321,4870.496304931445,788.4562443222363,,,,,,,
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,lowpass,in,0,0.0,,0.012787955740975875,17.05912208557129,0.013975011568718186,16.934370040893555,0.004524886877828055,0.01809954751131222,0.9773755656108597,17.199302673339844,-0.273147851228714,gcm_hamming,gcm_hamming,11247,2011.4237401562132,-1971.1742847672867,-56.865130691672675,1.8188316122170607,2.2493653007613967,0.9948884711779449,0.0,0.9999,112558.76820593716,110547.34446578095,110760.8638598182,110946.41270797036,112518.51875054823,112575.3838812399,55.0,0.0,dlog,,,,
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,lowpass,in,1,1.0,,0.016325049882096862,19.60776138305664,0.01841739935215178,19.541484832763672,0.0,0.01809954751131222,0.9819004524886877,18.892288208007812,0.004258790053427219,gcm_hamming,gcm_hamming,11247,218.73677077643515,-116.25702588241256,-38.138027195076575,1.8188316122170607,2.2493653007613967,0.9898769423558897,0.0,0.9829542372881356,112558.76820593716,112340.03143516072,112510.80043856881,112490.2377831199,112456.28846104314,112494.42648823821,55.0,1.0,dlog,,,,
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,lowpass,in,2,2.0,,0.018229639035008162,19.134431838989258,0.016751503933364182,18.916593551635742,0.01809954751131222,0.013574660633484163,0.9683257918552036,19.023406982421875,-0.007106901612132788,gcm_hamming,gcm_hamming,11247,341.2634571848903,-201.2612032210891,-20.507072063934174,1.8188316122170607,2.2493653007613967,0.9873711779448622,0.62,0.9829542372881356,112558.76820593716,112217.50474875227,112358.20901076577,112307.69396559976,112418.76595197336,112439.27302403729,55.0,2.0,dlog,,,,
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,lowpass,in,3,3.0,,0.014692544893887176,19.34576416015625,0.016751503933364182,19.215681076049805,0.013574660633484163,0.013574660633484163,0.9728506787330318,19.463924407958984,-0.6251266002655029,gcm_linear,gcm_linear,11247,478.799026142151,-408.49197456159163,-52.17600644531194,2.2681341819523335,2.2493653007613967,0.9923827067669173,0.5,0.9829542372881356,112558.76820593716,112094.28246235804,112220.49949614785,112079.969179795,112488.4611543566,112540.63716080191,55.0,3.0,dlog,,,,
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,lowpass,in,4,4.0,,0.015055323780155994,19.3885555267334,0.016751503933364182,19.30767822265625,0.0,0.013574660633484163,0.9864253393665159,19.657543182373047,-0.7400394082069397,gcm_hamming,gcm_hamming,11247,321.6015968396532,-245.19432170226355,-50.35879175644368,1.8188316122170607,2.2493653007613967,0.9923827067669173,0.0,0.9829542372881356,112558.76820593716,112237.1666090975,112373.44481627725,112301.27996508859,112482.36093079977,112532.71972255621,55.0,4.0,dlog,,,,
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,lowpass,in,6,6.0,,0.05976782151278796,4.015438079833984,0.06802406293382693,3.929445266723633,0.013574660633484163,0.05429864253393665,0.9321266968325792,13.995737075805664,-9.67660140991211,rule,gcm_hamming,11247,429.20162547977816,1334.7737745082704,-9.068650714049,1.8188316122170607,2.2493653007613967,0.947278947368421,0.12,0.9490627118644068,112558.76820593716,112129.56658045738,112334.31987159036,112178.66354434274,110794.79280594911,110803.86145666316,55.0,6.0,dlog,,,,
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,lowpass,in,8,8.0,,0.05831670596771268,4.120240688323975,0.06543267006015734,4.010067462921143,0.03167420814479638,0.049773755656108594,0.918552036199095,13.848129272460938,-9.43375015258789,rulex,gcm_hamming,11247,452.5385304424126,1236.837973347443,1.1946503224025946,1.8188316122170607,2.2493653007613967,0.947278947368421,0.36,0.9490627118644068,112558.76820593716,112106.22967549475,112336.97056262277,112192.24604575417,110870.5863524697,110869.3917021473,55.0,8.0,dlog,,,,
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,lowpass,in,12,12.0,,0.06149102122256485,4.199068546295166,0.06857936140675613,4.101986885070801,0.013574660633484163,0.04524886877828054,0.9411764705882354,13.92397403717041,-9.266753196716309,rule,gcm_hamming,11247,316.5886489840341,1524.0266370012541,-10.468099522011471,1.458532947443422,2.2493653007613967,0.9447731829573934,0.16,0.9490627118644068,112558.76820593716,112242.17955695312,112453.79498736642,112330.14462630532,110718.15291995187,110728.62101947388,55.0,12.0,dlog,,,,
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,lowpass,in,16,16.0,,0.056865590422637405,4.447052478790283,0.07200370198981952,4.284124851226807,0.03167420814479638,0.04524886877828054,0.9230769230769231,14.040679931640625,-8.925956726074219,rulex,gcm_hamming,11247,398.14076948737784,1217.3485945174034,1.8797775494022062,1.458532947443422,2.2493653007613967,0.9497847117794486,0.38,0.9490627118644068,112558.76820593716,112160.62743644978,112423.90708033822,112267.71230761788,110945.15861948178,110943.27884193238,55.0,16.0,dlog,,,,
