arch,condition,seed,task,rho,wd,step,lesion,side,param,dose,control_seed,test_acc,test_ce,train_reg_acc,train_reg_ce,acc_exc,overreg_rate,other_err_rate,exc_ce,exc_logit_gap,best_model,gcm_best,n_probe,dbic_gcm_vs_uniform,dbic_rulefam_vs_gcm,dbic_rulex_vs_rule,gcm_circular_lambda,gcm_hamming_lambda,rule_eps,rulex_m,rulex_eps,bic_uniform,bic_gcm_hamming,bic_gcm_circular,bic_gcm_linear,bic_rule,bic_rulex,n_units_total,unit_rank,attr_min_selected,dprime_min_selected
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,none,-,0,0.0,,0.9781100801729574,0.09627477824687958,0.9994484280198566,0.0015436498215422034,1.0,0.0,0.0,0.007487163878977299,10.878389358520508,rulex,gcm_hamming,11323,85522.40330420679,22989.04518727307,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27796.964740234074,39510.89628226087,38913.808103149386,8536.83754584105,4807.919552961005,,,,
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,neurons,units,0,0.0,,0.9781100801729574,0.09627477824687958,0.9994484280198566,0.0015436498215422034,1.0,0.0,0.0,0.007487163878977299,10.878389358520508,rulex,gcm_hamming,11323,85522.40330420679,22989.04518727307,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27796.964740234074,39510.89628226087,38913.808103149386,8536.83754584105,4807.919552961005,1920.0,grad,,
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,neurons,units,1,0.0005208333333333333,,0.9781100801729574,0.09633970260620117,0.9994484280198566,0.0015414878726005554,1.0,0.0,0.0,0.007653921376913786,10.860607147216797,rulex,gcm_hamming,11323,85522.40330420679,22989.04518727307,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27796.964740234074,39510.89628226087,38913.808103149386,8536.83754584105,4807.919552961005,1920.0,grad,3.642545223236084,0.10397355258464813
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,neurons,units,2,0.0010416666666666667,,0.9781100801729574,0.0962677076458931,0.9994484280198566,0.0015401598066091537,1.0,0.0,0.0,0.007684728596359491,10.843754768371582,rulex,gcm_hamming,11323,85522.40330420679,22989.04518727307,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27796.964740234074,39510.89628226087,38913.808103149386,8536.83754584105,4807.919552961005,1920.0,grad,3.355642318725586,-0.0290212482213974
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,neurons,units,4,0.0020833333333333333,,0.9781100801729574,0.09640252590179443,0.9994484280198566,0.0015486306510865688,1.0,0.0,0.0,0.007873956114053726,10.810731887817383,rulex,gcm_hamming,11323,85522.55011107371,22988.89838040616,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27796.817933367165,39506.67394620702,38909.58576971814,8536.83754584105,4807.919552961005,1920.0,grad,3.264791965484619,-0.0290212482213974
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,neurons,units,8,0.004166666666666667,,0.9779299162237636,0.09628716111183167,0.9994484280198566,0.0015506114577874541,1.0,0.0,0.0,0.00801775511354208,10.74954891204834,rulex,gcm_hamming,11323,85522.82704988102,22952.386547208764,3725.2657854382423,40.0,8.0,0.04269799498746867,1.0,0.017045762711864407,113319.36804444087,27796.54099455986,39523.789595668764,38926.701418226214,8569.420232789336,4844.154447351094,1920.0,grad,2.865856885910034,-0.052787866443395615
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,neurons,units,16,0.008333333333333333,,0.9782001621475542,0.0956697165966034,0.9994484280198566,0.0015822377754375339,1.0,0.0,0.0,0.008947157301008701,10.645391464233398,rulex,gcm_hamming,11323,85523.69923323492,23005.866705439996,3730.680866824665,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27795.668811205956,39512.962746685,38915.87456900403,8520.482972590626,4789.802105765961,1920.0,grad,2.3207201957702637,-0.1985490769147873
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,neurons,units,32,0.016666666666666666,,0.9779299162237636,0.09530474990606308,0.9994484280198566,0.0016074849991127849,1.0,0.0,0.0,0.01101482380181551,10.458144187927246,rulex,gcm_hamming,11323,85522.99810838065,22952.215488709124,3725.2657854382423,40.0,8.0,0.04269799498746867,1.0,0.017045762711864407,113319.36804444087,27796.36993606022,39510.16398245618,38903.83835703656,8569.420232789336,4844.154447351094,1920.0,grad,1.9369462728500366,-0.1985490769147873
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,neurons,units,64,0.03333333333333333,,0.9782001621475542,0.09318874776363373,0.9996322853465711,0.0013644782593473792,1.0,0.0,0.0,0.014493409544229507,10.159612655639648,rulex,gcm_hamming,11323,85546.02052718242,22983.54541149248,3730.680866824665,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27773.34751725844,39404.994356458636,38784.70653516576,8520.482972590626,4789.802105765961,1920.0,grad,1.5149080753326416,-0.1985490769147873
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,neurons,units,128,0.06666666666666667,,0.9792811458427169,0.09217952191829681,0.9997242140099283,0.0013465118827298284,0.9954954954954955,0.0045045045045045045,-4.597017211338539e-17,0.021856576204299927,9.684625625610352,rulex,gcm_hamming,11323,85549.69693992197,23180.53714417174,3718.7395599879474,40.0,8.0,0.040192230576441106,0.98,0.017045762711864407,113319.36804444087,27769.671104518893,39365.15873820111,38744.88094527051,8307.8735203351,4589.133960347153,1920.0,grad,1.1569912433624268,-0.20750629901885986
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,neurons,units,256,0.13333333333333333,,0.9793712278173138,0.0893273800611496,0.9996322853465711,0.0013387658400461078,0.990990990990991,0.009009009009009009,1.9081958235744878e-17,0.040700070559978485,8.963078498840332,rulex,gcm_hamming,11323,85553.27751234734,23187.301745602374,3696.3755873430955,40.0,8.0,0.040192230576441106,0.98,0.017045762711864407,113319.36804444087,27766.090532093527,39325.615955417605,38710.73366243169,8275.16437383425,4578.7887864911545,1920.0,grad,0.7913908958435059,-0.2667393386363983
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,neurons,units,512,0.26666666666666666,,0.9788307359697325,0.08456966280937195,0.9996322853465711,0.0013900763588026166,0.963963963963964,0.02702702702702703,0.009009009009008973,0.08675343543291092,7.8909525871276855,rulex,gcm_hamming,11323,85515.40559648749,23049.22579187526,3553.1368642569714,40.0,8.0,0.040192230576441106,0.98,0.017045762711864407,113319.36804444087,27803.96244795339,39434.744965618105,38841.29916912839,8307.8735203351,4754.736656078129,1920.0,grad,0.45250046253204346,-0.28243184089660645
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,0,0.0,0.0,0.9781100801729574,0.09627477824687958,0.9994484280198566,0.0015436498215422034,1.0,0.0,0.0,0.007487163878977299,10.878389358520508,rulex,gcm_hamming,11323,85522.40330420679,22989.04518727307,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27796.964740234074,39510.89628226087,38913.808103149386,8536.83754584105,4807.919552961005,1920.0,grad,,
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,1,0.0005208333333333333,0.0,0.9781100801729574,0.09629334509372711,0.9994484280198566,0.0015423500444740057,1.0,0.0,0.0,0.0074788304045796394,10.875792503356934,rulex,gcm_hamming,11323,85522.40330420679,22989.04518727307,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27796.964740234074,39510.89628226087,38913.808103149386,8536.83754584105,4807.919552961005,1920.0,grad,0.5116989612579346,-0.03152100741863251
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,2,0.0010416666666666667,0.0,0.9781100801729574,0.09635492414236069,0.9994484280198566,0.001556558534502983,1.0,0.0,0.0,0.007435908075422049,10.87444019317627,rulex,gcm_hamming,11323,85522.40330420679,22989.04518727307,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27796.964740234074,39510.89628226087,38913.808103149386,8536.83754584105,4807.919552961005,1920.0,grad,0.08067875355482101,0.07713336497545242
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,4,0.0020833333333333333,0.0,0.9781100801729574,0.09620757400989532,0.9994484280198566,0.0015402627177536488,1.0,0.0,0.0,0.007808167487382889,10.865139961242676,rulex,gcm_hamming,11323,85529.38625202968,22982.062239450184,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27789.98179241119,39492.35809881017,38875.8190379791,8536.83754584105,4807.919552961005,1920.0,grad,0.14559043943881989,-0.16741837561130524
