arch,condition,seed,task,rho,wd,step,lesion,side,param,dose,control_seed,test_acc,test_ce,train_reg_acc,train_reg_ce,acc_exc,overreg_rate,other_err_rate,exc_ce,exc_logit_gap,best_model,gcm_best,n_probe,dbic_gcm_vs_uniform,dbic_rulefam_vs_gcm,dbic_rulex_vs_rule,gcm_circular_lambda,gcm_hamming_lambda,rule_eps,rulex_m,rulex_eps,bic_uniform,bic_gcm_hamming,bic_gcm_circular,bic_gcm_linear,bic_rule,bic_rulex,k_modes,n_modes_touched,basis,n_units_total,unit_rank,attr_min_selected,dprime_min_selected
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,none,-,0,0.0,,0.9894604089721647,0.06163690984249115,0.9994484280198566,0.003318279515951872,0.972972972972973,0.018018018018018018,0.009009009009008955,0.07648646831512451,9.180784225463867,rulex,gcm_circular,11323,48343.516940235764,62374.51776382035,3774.8885000480855,40.0,0.05,0.030169172932330828,0.98,0.017045762711864407,113319.36804444087,113549.81214690601,64975.8511042051,65317.64701718614,6376.221840432834,2601.3333403847487,,,,,,,
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,0,0.0,,0.005945410323394289,16.961307525634766,0.007630079058650487,16.844589233398438,0.013513513513513514,0.0,0.9864864864864865,16.36542320251465,0.2421700805425644,gcm_hamming,gcm_hamming,11323,3242.4227186597127,-3252.0695381374535,-9.245842011863715,0.2,0.05,0.9999,1.0,0.9999,113319.36804444087,110076.94532578115,110077.7881807737,110101.49816841408,113329.01486391861,113338.26070593047,34.0,0.0,natural,,,,
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,1,1.0,,0.005585082425006756,17.218069076538086,0.004320647177790035,17.117504119873047,0.009009009009009009,0.0045045045045045045,0.9864864864864865,16.751039505004883,0.023276526480913162,gcm_hamming,gcm_hamming,11323,90.33253763336688,-100.06810643356584,-9.30500822684553,0.2,0.05,0.9999,1.0,0.9999,113319.36804444087,113229.0355068075,113303.8453821592,113317.68970245644,113329.10361324107,113338.40862146791,34.0,1.0,natural,,,,
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,2,2.0,,0.008377623637510134,16.99713706970215,0.005975363118220261,16.841793060302734,0.0045045045045045045,0.0045045045045045045,0.9909909909909911,16.342283248901367,0.4585334062576294,uniform,gcm_hamming,11323,-41.81160891332547,35.20064437651308,-11.542009871598566,0.2,0.05,0.9973942355889724,0.5,0.9999,113319.36804444087,113361.1796533542,113418.17947143837,113451.30972141548,113325.97900897768,113337.52101884928,34.0,2.0,natural,,,,
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,3,3.0,,0.007837131789928835,16.03399658203125,0.0067107924250781395,15.792485237121582,0.0045045045045045045,0.0,0.9954954954954955,15.472554206848145,0.5151488184928894,gcm_hamming,gcm_hamming,11323,97.38014137368009,-106.40571559419914,-9.305008226816426,0.2,0.05,0.9999,1.0,0.9999,113319.36804444087,113221.98790306719,113276.2093986921,113290.47505516335,113328.39361866139,113337.6986268882,34.0,3.0,natural,,,,
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,4,4.0,,0.007566885866138186,16.290103912353516,0.0058834344548630265,16.087862014770508,0.0045045045045045045,0.0,0.9954954954954955,16.008880615234375,0.640075147151947,gcm_hamming,gcm_hamming,11323,165.18432552096783,-174.29864906394505,-9.305008226830978,0.2,0.05,0.9999,1.0,0.9999,113319.36804444087,113154.1837189199,113210.41573375984,113226.37380451485,113328.48236798384,113337.78737621068,34.0,4.0,natural,,,,
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,6,6.0,,0.006936312043960003,13.87939739227295,0.0058834344548630265,13.771062850952148,0.0045045045045045045,0.0,0.9954954954954955,12.898727416992188,1.710608720779419,uniform,gcm_hamming,11323,-445.16731486690696,435.8459095715225,-9.305008226830978,0.2,0.96539859156753,0.9999,1.0,0.9999,113319.36804444087,113764.53535930777,113768.97062820717,113785.11373180672,113328.68944973625,113337.99445796308,34.0,6.0,natural,,,,
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,8,8.0,,0.006035492297991172,13.900524139404297,0.006894649751792609,13.74647331237793,0.0045045045045045045,0.0,0.9954954954954955,12.715131759643555,1.7646619081497192,uniform,gcm_hamming,11323,-380.5569259921758,370.93968962192594,-9.305008226830978,0.2,1.192737828708027,0.9999,1.0,0.9999,113319.36804444087,113699.92497043304,113713.85335106179,113721.17457336708,113328.98528081112,113338.29028903795,34.0,8.0,natural,,,,
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,12,12.0,,0.02161967390325196,6.773266315460205,0.024085309799595514,6.539605617523193,0.018018018018018018,0.013513513513513514,0.9684684684684685,11.275664329528809,-3.68829345703125,rule,gcm_hamming,11323,-148.19125792839623,372.2268496300385,-7.604762368486263,0.48365423502439153,2.2493653007613967,0.9848654135338346,0.62,0.9829542372881356,113319.36804444087,113467.55930236926,113545.82022995278,113554.46048683449,113095.33245273923,113102.93721510771,34.0,12.0,natural,,,,
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,lowpass,in,16,16.0,,0.23466354382488064,2.8484888076782227,0.28608200036771464,2.54158091545105,0.02702702702702703,0.06756756756756757,0.9054054054054055,10.474008560180664,-5.991727828979492,gcm_circular,gcm_circular,11323,16371.3682528731,-2283.5758609891345,9.55085595336277,8.529552420184924,0.05,0.7743812030075188,0.28,0.7796050847457627,113319.36804444087,113419.06858482343,96947.99979156777,98222.73928398415,99241.12650851026,99231.5756525569,34.0,16.0,natural,,,,
