arch,task,location,value_mean_nopos,modes_nopos,value_mean_pos,modes_pos,delta,best
transformer,add,L0_eq,0.9163927213983954,30 / 3 / 3,0.9588223467479043,3 / 3 / 3,0.04242962534950889,best no-pos & pos
transformer,add,ffn0_out_eq,0.9095569042481881,30 / 3 / 3,0.9420974004934525,3 / 3 / 3,0.03254049624526434,
transformer,add,attn0_out_eq,0.8717557217804281,4 / 3 / 3,0.9418060832502947,3 / 3 / 3,0.07005036146986654,
transformer,add,L0_after_attn_eq,0.8717556947241096,4 / 3 / 3,0.9418060804650835,3 / 3 / 3,0.07005038574097389,
transformer,add,t0_ffn_mid_eq,0.8458306385540318,30 / 3 / 3,0.8603895920642973,3 / 3 / 3,0.014558953510265482,
transformer,add,t0_attn_raw_y_eq,0.8373665628144765,4 / 3 / 3,0.9075021438895994,3 / 3 / 3,0.07013558107512285,
transformer,add,t0_ffn_norm_eq,0.8190969676515315,52 / 3 / 3,0.9299552961830576,3 / 3 / 3,0.1108583285315261,
transformer,add,t0_attn_norm_eq,,– / – / –,,– / – / –,,
transformer,add,t0_k_eq,,– / – / –,,– / – / –,,
transformer,add,t0_k_rope_eq,,– / – / –,,– / – / –,,
transformer,add,t0_q_eq,,– / – / –,,– / – / –,,
transformer,add,t0_q_rope_eq,,– / – / –,,– / – / –,,
transformer,add,t0_v_eq,,– / – / –,,– / – / –,,
transformer,div,t0_ffn_mid_eq,0.9358284867502809,74 / 74 / 14,0.7734375470950517,12 / 17 / 3,-0.1623909396552291,best no-pos & pos
transformer,div,ffn0_out_eq,0.9282246767711783,74 / 74 / 14,0.7684086248287908,12 / 17 / 3,-0.15981605194238746,
transformer,div,L0_eq,0.9151113645478152,74 / 7 / 14,0.7325677278480534,12 / 17 / 3,-0.1825436366997618,
transformer,div,t0_ffn_norm_eq,0.8594806757286501,74 / 74 / 14,0.6771789704189919,12 / 17 / 7,-0.18230170530965817,
transformer,div,attn0_out_eq,0.7740261415519677,7 / 14 / 14,0.6070563227580704,12 / 17 / 7,-0.16696981879389727,
transformer,div,L0_after_attn_eq,0.7740258345958085,7 / 14 / 14,0.6070562535647458,12 / 17 / 7,-0.16696958103106274,
transformer,div,t0_attn_raw_y_eq,0.7542389202024872,7 / 7 / 14,0.6024189074262102,12 / 17 / 7,-0.151820012776277,
transformer,div,t0_attn_norm_eq,,– / – / –,,– / – / –,,
transformer,div,t0_k_eq,,– / – / –,,– / – / –,,
transformer,div,t0_k_rope_eq,,– / – / –,,– / – / –,,
transformer,div,t0_q_eq,,– / – / –,,– / – / –,,
transformer,div,t0_q_rope_eq,,– / – / –,,– / – / –,,
transformer,div,t0_v_eq,,– / – / –,,– / – / –,,
transformer,max,t0_q_rope_eq,0.890080622516564,– / – / –,0.8225004807603264,– / – / –,-0.0675801417562375,best no-pos
transformer,max,t0_k_eq,0.8816439067843943,– / – / –,0.8838953866162348,– / – / –,0.002251479831840486,best pos
transformer,max,t0_k_rope_eq,0.8689421507179981,– / – / –,0.8731267358324937,– / – / –,0.004184585114495598,
transformer,max,t0_q_eq,0.866753327333774,– / – / –,0.842045331055061,– / – / –,-0.024707996278713007,
transformer,max,t0_attn_norm_eq,0.7619400287983633,– / – / –,0.704681364036532,– / – / –,-0.05725866476183128,
transformer,max,ffn0_out_eq,0.5615211291816998,– / – / –,0.5618904820767491,– / – / –,0.0003693528950492464,
transformer,max,L0_eq,0.5598839487477149,– / – / –,0.541877104582108,– / – / –,-0.018006844165606828,
transformer,max,t0_ffn_mid_eq,0.5136551502321419,– / – / –,0.5752291055828395,– / – / –,0.06157395535069754,
transformer,max,t0_ffn_norm_eq,0.4660617454283169,– / – / –,0.45836268122874735,– / – / –,-0.007699064199569561,
transformer,max,t0_attn_raw_y_eq,0.355496262997086,– / – / –,0.37749952762888633,– / – / –,0.022003264631800357,
transformer,max,L0_after_attn_eq,0.3554363453146237,– / – / –,0.3574597968100319,– / – / –,0.002023451495408224,
transformer,max,attn0_out_eq,0.3554363443142707,– / – / –,0.3574597901783438,– / – / –,0.0020234458640731035,
transformer,max,t0_v_eq,,– / – / –,0.8721711829700317,– / – / –,,
mamba,add,m0_gated_y_eq,0.8532203996787477,3 / 9 / 3,0.7067650912981817,31 / 4 / 3,-0.14645530838056608,best no-pos & pos
mamba,add,m0_ssm_y_eq,0.7192496744491285,3 / 9 / 3,0.5155352934681745,4 / 3 / 3,-0.20371438098095396,
mamba,add,m0_skip_y_eq,0.7101140184953071,3 / 9 / 3,0.5165005010938027,31 / 3 / 3,-0.19361351740150434,
mamba,add,m0_x_stream_eq,0.5605320514574511,3 / 56 / 3,0.5176349928732545,31 / 74 / 3,-0.04289705858419657,
mamba,add,ssm0_out_eq,0.5447316081247611,3 / 9 / 3,0.5808109338960654,31 / 4 / 3,0.03607932577130435,
mamba,add,L0_eq,0.544731587027874,3 / 9 / 3,0.580810920713993,31 / 4 / 3,0.03607933368611893,
mamba,add,m0_norm_y_eq,0.5183794303263763,3 / 9 / 3,0.5002984928801048,31 / 3 / 3,-0.018080937446271594,
mamba,div,m0_x_stream_eq,0.6504456970494868,74 / 30 / 4,0.8551576087397077,3 / 10 / 74,0.20471191169022085,best no-pos
mamba,div,m0_skip_y_eq,0.5181147192075922,3 / 30 / 57,0.9443578565124815,3 / 10 / 74,0.4262431373048893,best pos
mamba,div,m0_gated_y_eq,0.5165836029671461,7 / 71 / 4,0.8715591037070217,3 / 10 / 74,0.3549755007398756,
mamba,div,m0_ssm_y_eq,0.4915527521929885,3 / 30 / 57,0.9312559917170221,3 / 10 / 74,0.4397032395240336,
mamba,div,m0_norm_y_eq,0.48889012152202005,3 / 30 / 57,0.9357898852025793,3 / 10 / 74,0.4468997636805593,
mamba,div,ssm0_out_eq,0.4817591643336101,3 / 30 / 57,0.9079870941965759,3 / 10 / 74,0.42622792986296576,
mamba,div,L0_eq,0.4817590773411338,3 / 30 / 57,0.9079870686384605,3 / 10 / 74,0.42622799129732664,
mamba,max,m0_x_stream_eq,0.5055918088975192,– / – / –,0.4312574378489619,– / – / –,-0.07433437104855728,best no-pos & pos
mamba,max,m0_ssm_y_eq,0.33574455750766363,– / – / –,0.2572695828567777,– / – / –,-0.07847497465088593,
mamba,max,m0_skip_y_eq,0.3263453126324682,– / – / –,0.25597557447244984,– / – / –,-0.07036973816001835,
mamba,max,m0_norm_y_eq,0.27151010986945273,– / – / –,0.2629093060468051,– / – / –,-0.008600803822647607,
mamba,max,m0_gated_y_eq,0.21512254336970582,– / – / –,0.21014082800975475,– / – / –,-0.004981715359951067,
mamba,max,L0_eq,0.1814219113447428,– / – / –,0.19276632080544695,– / – / –,0.011344409460704141,
mamba,max,ssm0_out_eq,0.18142190546057602,– / – / –,0.19276632478381836,– / – / –,0.011344419323242344,
kimi,add,K0_eq,0.9847331159054482,50 / 50 / 34,0.9555869160026873,37 / 49 / 55,-0.029146199902760905,best no-pos & pos
kimi,add,kda0_v_eq,0.9827808925497757,50 / 33 / 34,0.8301543472644247,37 / 49 / 29,-0.15262654528535102,
kimi,add,kda0_out_eq,0.9777000732808306,50 / 33 / 50,0.8466690075439424,37 / 74 / 74,-0.13103106573688827,
kimi,add,kda0_o_norm_eq,0.9760828085041119,50 / 33 / 34,0.8116512777486659,37 / 74 / 74,-0.16443153075544603,
kimi,add,kda0_raw_o_eq,0.975757837880971,50 / 33 / 34,0.8172258280427313,37 / 74 / 74,-0.15853200983823978,
kimi,add,kda0_gated_o_eq,0.9748769230576624,50 / 33 / 34,0.8242859245672592,37 / 74 / 74,-0.15059099849040314,
kimi,add,kf0_ffn_mid_eq,0.9456220103864487,50 / 50 / 34,0.9457234889294203,37 / 49 / 55,0.0001014785429716003,
kimi,add,kda0_q_eq,0.9160211212944329,50 / 3 / 34,0.8027666294492803,37 / 3 / 74,-0.11325449184515257,
kimi,add,kda0_k_eq,0.8864202074082641,50 / 33 / 34,0.6887074983028526,37 / 3 / 74,-0.1977127091054115,
kimi,add,kda0_gate_eq,,– / – / –,,– / – / –,,
kimi,div,kda0_q_eq,0.47845127393377296,3 / 19 / 17,0.4967385561440471,7 / 7 / 7,0.018287282210274147,best no-pos
kimi,div,kda0_v_eq,0.4783715265652564,3 / 19 / 17,0.7969260293221048,17 / 17 / 17,0.3185545027568484,best pos
kimi,div,kda0_gated_o_eq,0.476228940997064,3 / 19 / 3,0.598021778568669,34 / 5 / 7,0.12179283757160503,
kimi,div,kda0_o_norm_eq,0.4673111956808,3 / 19 / 3,0.6120832208287659,34 / 5 / 7,0.1447720251479659,
kimi,div,kda0_raw_o_eq,0.46346548349289285,3 / 19 / 3,0.6084827329295509,34 / 5 / 7,0.14501724943665806,
kimi,div,kf0_ffn_mid_eq,0.46159602879423217,3 / 19 / 3,0.5250727410681635,34 / 5 / 7,0.06347671227393131,
kimi,div,K0_eq,0.4574617746161787,3 / 19 / 3,0.5734227364898757,34 / 5 / 7,0.11596096187369703,
kimi,div,kda0_out_eq,0.45385790034090445,3 / 17 / 3,0.5707924438595754,34 / 5 / 7,0.11693454351867094,
kimi,div,kda0_k_eq,0.3219033607015303,3 / 47 / 3,0.4249485883662172,7 / 17 / 3,0.10304522766468688,
kimi,div,kda0_gate_eq,,– / – / –,,– / – / –,,
kimi,max,kda0_gate_eq,0.8627449378764641,– / – / –,0.8607704521553172,– / – / –,-0.0019744857211468902,best no-pos & pos
kimi,max,kda0_k_eq,0.8592060607483628,– / – / –,0.8424639633872949,– / – / –,-0.01674209736106791,
kimi,max,kda0_q_eq,0.8135919158084982,– / – / –,0.849155978131266,– / – / –,0.035564062322767764,
kimi,max,kda0_v_eq,0.26517293474699605,– / – / –,0.33279592342265146,– / – / –,0.06762298867565542,
kimi,max,kda0_o_norm_eq,-0.015316574928587035,– / – / –,0.1405039068740303,– / – / –,0.15582048180261734,
kimi,max,kf0_ffn_mid_eq,-0.029682897446193932,– / – / –,0.08645512602290485,– / – / –,0.11613802346909878,
kimi,max,kda0_raw_o_eq,-0.04299167157935297,– / – / –,0.10483595299670027,– / – / –,0.14782762457605325,
