arch,seed,task,grok_step,t_switch_rule_or_rulex,t_half_mech,t_half_mech_corrected,mech_window_start,mech_metric
kimi,1000,add,13675.0,12900.0,172.91770745816413,750.0,550.0,fourier_conc_final_eq
kimi,1000,div,11900.0,9700.0,6261.123552951255,6261.123552951255,,fourier_conc_final_eq
kimi,1000,max,275.0,75.0,76.300257152644,76.300257152644,,linear_corr_final_eq
kimi,1001,add,17650.0,16850.0,156.50170434824378,750.0,550.0,fourier_conc_final_eq
kimi,1001,div,17125.0,13075.0,7691.251835452164,7691.251835452164,,fourier_conc_final_eq
kimi,1001,max,275.0,75.0,68.24965343008927,68.24965343008927,,linear_corr_final_eq
kimi,1002,add,8125.0,7525.0,173.4414679991198,750.0,550.0,fourier_conc_final_eq
kimi,1002,div,6025.0,4925.0,1186.7464519360328,1186.7464519360328,,fourier_conc_final_eq
kimi,1002,max,275.0,75.0,67.29283687684612,67.29283687684612,,linear_corr_final_eq
mamba,1000,add,6225.0,5525.0,132.31873986306184,,500.0,fourier_conc_final_eq
mamba,1000,div,2675.0,1475.0,833.3872180940358,833.3872180940358,,fourier_conc_final_eq
mamba,1000,max,200.0,50.0,36.00852904767162,36.00852904767162,,linear_corr_final_eq
mamba,1001,add,5550.0,4975.0,63.32378410439033,,500.0,fourier_conc_final_eq
mamba,1001,div,2200.0,1400.0,855.53110087996,855.53110087996,,fourier_conc_final_eq
mamba,1001,max,150.0,50.0,39.24374035431621,39.24374035431621,,linear_corr_final_eq
mamba,1002,add,4375.0,3750.0,113.03999378588128,,500.0,fourier_conc_final_eq
mamba,1002,div,2900.0,1775.0,1223.5933570898435,1223.5933570898435,,fourier_conc_final_eq
mamba,1002,max,175.0,50.0,37.10227637075326,37.10227637075326,,linear_corr_final_eq
transformer,1000,add,2600.0,2525.0,565.6539921972101,612.5157934989011,500.0,fourier_conc_final_eq
transformer,1000,div,8025.0,6150.0,4903.037198677792,4903.037198677792,,fourier_conc_final_eq
transformer,1000,max,175.0,1.0,29.75657979231939,29.75657979231939,,linear_corr_final_eq
transformer,1001,add,2500.0,2450.0,275.71427400200884,,500.0,fourier_conc_final_eq
transformer,1001,div,9300.0,25.0,6434.226097759551,6434.226097759551,,fourier_conc_final_eq
transformer,1001,max,150.0,25.0,34.79413773641389,34.79413773641389,,linear_corr_final_eq
transformer,1002,add,2700.0,2475.0,13.099333957516476,,500.0,fourier_conc_final_eq
transformer,1002,div,9550.0,7750.0,6435.751079263956,6435.751079263956,,fourier_conc_final_eq
transformer,1002,max,125.0,25.0,30.435423234826647,30.435423234826647,,linear_corr_final_eq
