statistic,arch,estimate,ci_lo,ci_hi,n
"Spearman(t_mech, behavioural half-rise)",all,0.9344298062477652,0.8371387301064838,0.9718291772995793,90
"Spearman(t_mech, cognitive switch)",all,0.9513879449962844,0.8828822065137596,0.978280668787869,90
"Spearman(peak overreg, log10 t_exc/t_grok)",all,0.9799109797823803,0.9376287578932387,0.9868696857229035,48
median t_switch/t_grok (add),kimi,0.6773939830897293,0.632183908045977,0.7699353448275862,16
median t_switch/t_grok (add),mamba,0.6754385964912281,0.4888888888888889,0.75,18
median t_switch/t_grok (add),transformer,0.5504807692307692,0.48529411764705876,0.5833333333333334,18
median lead t_beh/t_mech (add),kimi,2.9728767909767577,1.908332975408503,3.421686666656991,18
median lead t_beh/t_mech (add),mamba,2.050035908911434,1.9575724528309169,2.060873371494916,18
median lead t_beh/t_mech (add),transformer,2.018669528151646,1.9697682268520602,2.0958487902172465,18
median t_exc/t_grok (add),kimi,0.0611721774074402,0.0330459770114942,0.08984375,10
median t_exc/t_grok (add),mamba,1.3095238095238095,0.6972789115646258,1.5921052631578947,12
median t_exc/t_grok (add),transformer,5.823529411764706,3.9901185770750986,7.0,11
"median D50 exceptions (ebottom, add)",kimi,0.35127535862813597,0.2765273876402113,0.46167244987864586,12
"median D50 rule (ebottom, add)",kimi,0.687934372546503,0.6697834662607749,0.7446567187528514,12
"median SI at q = 0.5 (ebottom, add)",kimi,0.7742381377864669,0.582301975879131,0.8517193889682854,12
"median D50 exceptions (ebottom, add)",mamba,0.2416676185036124,0.2230263157894064,0.2620884580769465,12
"median D50 rule (ebottom, add)",mamba,0.7479450401090058,0.7242428238951248,0.8012317804841469,12
"median SI at q = 0.5 (ebottom, add)",mamba,0.9716212564244275,0.9299097313690592,0.9823419446831754,12
"median D50 exceptions (ebottom, add)",transformer,0.27956161137417446,0.23874999999987062,0.3032880434779861,12
"median D50 rule (ebottom, add)",transformer,0.577117402204369,0.5433484162894564,0.6157011289363713,12
"median SI at q = 0.5 (ebottom, add)",transformer,0.6020927016558043,0.5090852946451542,0.6127289887852002,12
